investor,id_funding,name,sector,industry,subindustry,zip,amount,date
BH Ventures,88316,Company 610468,Mobile & Telecommunications,Mobile Software & Services,Customer Relationship Management,11201,1.58,12/7/2011
Canaan Partners,104775,Company 73598,Internet,Internet Software & Services,Video,10012,3,7/30/2012
Avalon Ventures,104809,Company 800356,Mobile & Telecommunications,Mobile Software & Services,Gaming,10012,Undisclosed,7/30/2012
Cloud Capital Partners,88316,Company 610468,Mobile & Telecommunications,Mobile Software & Services,Customer Relationship Management,11201,1.58,12/7/2011
Fremont Group,103216,Company 529920,Mobile & Telecommunications,Mobile Commerce,Digital Goods,10016,1.28,4/20/2012
Actinic Ventures,105165,Company 538258,Internet,eCommerce,Discount,10016,0.4,8/2/2012
High Line Venture Partners,137555,Company 681818,Internet,Internet Software & Services,Data Storage,10007,0.28,12/8/2011
Prolog Ventures,96971,Company 562548,Internet,Internet Software & Services,Health & Wellness,10003,Undisclosed,4/22/2012
Payment Ventures,105165,Company 538251,Internet,eCommerce,Discount,10016,0.4,8/2/2012
EastOne Group,97037,Company 767775,Internet,Internet Software & Services,Video,Undisclosed,0.07,4/22/2012
Atventure.us,101160,Company 635535,Mobile & Telecommunications,Mobile Software & Services,Photo,Undisclosed,1,12/13/2011
Box Group,105166,Company 561454,Mobile & Telecommunications,Mobile Software & Services,Gaming,10013,0.6,8/2/2012
Lerer Ventures,101168,Company 761168,Internet,eCommerce,Travel (internet),10018,2.1,4/23/2012
BH Ventures,101160,Company 635539,Mobile & Telecommunications,Mobile Software & Services,Photo,Undisclosed,1,12/13/2011
PROfounders Capital,101168,Company 761169,Internet,eCommerce,Travel (internet),10018,2.1,4/23/2012
Lerer Ventures,105166,Company 561456,Mobile & Telecommunications,Mobile Software & Services,Gaming,10013,0.6,8/2/2012
ENIAC Ventures,101160,Company 635535,Mobile & Telecommunications,Mobile Software & Services,Photo,Undisclosed,1,12/13/2011
Thrive Capital,101168,Company 761165,Internet,eCommerce,Travel (internet),10018,2.1,4/23/2012
RRE Ventures,105166,Company 561452,Mobile & Telecommunications,Mobile Software & Services,Gaming,10013,0.6,8/2/2012
General Catalyst Partners,101160,Company 635539,Mobile & Telecommunications,Mobile Software & Services,Photo,Undisclosed,1,12/13/2011
Actinic Ventures,104414,Company 538251,Internet,eCommerce,Discount,10016,0.5,4/24/2012
Vaizra Investments,105166,Company 561454,Mobile & Telecommunications,Mobile Software & Services,Gaming,10013,0.6,8/2/2012
Harbor Road Ventures,101160,Company 635530,Mobile & Telecommunications,Mobile Software & Services,Photo,Undisclosed,1,12/13/2011
Payment Ventures,104414,Company 538256,Internet,eCommerce,Discount,10016,0.5,4/24/2012
TMT Investments,101160,Company 635535,Mobile & Telecommunications,Mobile Software & Services,Photo,Undisclosed,1,12/13/2011
IA Ventures,105199,Company 802142,Internet,Internet Software & Services,Collaboration & Project Management,10003,2.5,8/2/2012
FireStarter Fund,97701,Company 513964,Mobile & Telecommunications,Mobile Software & Services,Customer Relationship Management,10001,5,5/1/2012
Founder Collective,77672,Company 555697,Internet,Internet Software & Services,Education & Training,10013,1,12/20/2011
Lerer Ventures,139259,Company 973831,Internet,Internet Software & Services,News & Discussion,10012,Undisclosed,8/6/2012
Launchpad Venture Group,98197,Company 514221,Internet,Internet Software & Services,Customer Relationship Management,10013,0.07,5/8/2012
Lerer Ventures,77672,Company 555692,Internet,Internet Software & Services,Education & Training,10013,1,12/20/2011
Google Ventures,105791,Company 637246,Internet,Internet Software & Services,Data & Document Management,10038,1,8/9/2012
Reinmkr Capital,77672,Company 555698,Internet,Internet Software & Services,Education & Training,10013,1,12/20/2011
Blumberg Capital,109348,Company 819002,Internet,Internet Software & Services,Social,Undisclosed,1.5,5/8/2012
Quotidian Ventures,105791,Company 637244,Internet,Internet Software & Services,Data & Document Management,10038,1,8/9/2012
Sequoia Capital,77672,Company 555691,Internet,Internet Software & Services,Education & Training,10013,1,12/20/2011
Founders Fund,109834,Company 777621,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,11201,1,5/8/2012
RRE Ventures,105791,Company 637249,Internet,Internet Software & Services,Data & Document Management,10038,1,8/9/2012
SV Angel,77672,Company 555690,Internet,Internet Software & Services,Education & Training,10013,1,12/20/2011
Innovation Endeavors,109834,Company 777622,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,11201,1,5/8/2012
Raptor Ventures,106031,Company 805864,Mobile & Telecommunications,Mobile Software & Services,Accounting & Finance,10001,2.41,8/12/2012
Thrive Capital,77672,Company 555692,Internet,Internet Software & Services,Education & Training,10013,1,12/20/2011
Fayerweather Ventures,119783,Company 870297,Electronics,Electrical Product Distribution,Power Generation & Storage,10001,1.13,5/9/2012
Quotidian Ventures,106330,Company 806922,Internet,Internet Software & Services,Accounting & Finance,10017,0.9,8/15/2012
500 Startups,106997,Company 544147,Internet,eCommerce,Discount,10013,0.02,5/11/2012
First Round Capital,89508,Company 636057,Internet,Internet Software & Services,News & Discussion,10013,1.5,12/23/2011
Golden Seeds,106438,Company 275069,Internet,eCommerce,"Music, Video, Books & Entertainment",10014,Undisclosed,8/16/2012
Investors Circle,107255,Company 810370,Healthcare,Medical Devices & Equipment,,10152,Undisclosed,5/11/2012
Lerer Ventures,89508,Company 636052,Internet,Internet Software & Services,News & Discussion,10013,1.5,12/23/2011
High Line Venture Partners,106539,Company 808046,Internet,Internet Software & Services,Data Storage,Undisclosed,0.53,8/19/2012
Quotidian Ventures,98536,Company 774136,Internet,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",Undisclosed,Undisclosed,5/13/2012
SV Angel,89508,Company 636057,Internet,Internet Software & Services,News & Discussion,10013,1.5,12/23/2011
Red Swan Ventures,106539,Company 808041,Internet,Internet Software & Services,Data Storage,Undisclosed,0.53,8/19/2012
Matrix Partners,98696,Company 774998,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,10118,Undisclosed,5/14/2012
Transmedia Capital,89508,Company 636057,Internet,Internet Software & Services,News & Discussion,10013,1.5,12/23/2011
SV Angel,106539,Company 808042,Internet,Internet Software & Services,Data Storage,Undisclosed,0.53,8/19/2012
500 Startups,99005,Company 776076,Internet,eCommerce,Apparel & Accessories,10018,Undisclosed,5/16/2012
Contour Venture Partners,105001,Company 592397,Mobile & Telecommunications,Mobile Software & Services,Payments,10010,2,12/23/2011
500 Startups,99007,Company 776091,Mobile & Telecommunications,Mobile Software & Services,Education & Training,10013,Undisclosed,5/16/2012
Collaborative Fund,106629,Company 808447,Internet,Internet Software & Services,Health & Wellness,11249,1.85,8/20/2012
High Peaks Venture Partners,105001,Company 592390,Mobile & Telecommunications,Mobile Software & Services,Payments,10010,2,12/23/2011
Partnership Fund for New York City,105001,Company 592392,Mobile & Telecommunications,Mobile Software & Services,Payments,10010,2,12/23/2011
500 Startups,99113,Company 776550,Internet,Internet Software & Services,Monitoring & Security,Undisclosed,Undisclosed,5/17/2012
First Round Capital,106629,Company 808440,Internet,Internet Software & Services,Health & Wellness,11249,1.85,8/20/2012
Village Ventures,105001,Company 592390,Mobile & Telecommunications,Mobile Software & Services,Payments,10010,2,12/23/2011
Robin Hood Ventures,106965,Company 254819,Internet,Internet Software & Services,Social,10013,Undisclosed,5/18/2012
O'Reilly AlphaTech Ventures,106629,Company 808443,Internet,Internet Software & Services,Health & Wellness,11249,1.85,8/20/2012
Lerer Ventures,99601,Company 778422,Internet,eCommerce,Marketplace,10003,1,5/24/2012
ff Venture Capital,99564,Company 553989,Internet,eCommerce,Comparison Shopping,10014,0.82,12/28/2011
Polaris Partners,115184,Company 847067,Mobile & Telecommunications,Mobile Software & Services,Photo,10003,0.6,8/20/2012
SV Angel,99601,Company 778423,Internet,eCommerce,Marketplace,10003,1,5/24/2012
Lightbank,99564,Company 553982,Internet,eCommerce,Comparison Shopping,10014,0.82,12/28/2011
